0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/logo.png HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/partner/partner-5.png HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/footer-logo.png HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/fonts/themify.woff?-fvbane HTTP/1.1" 200 56108
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/fonts/ElegantIcons.woff HTTP/1.1" 200 63664
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/hero/hero-2.jpg HTTP/1.1" 200 150586
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/hero/hero-1.jpg HTTP/1.1" 200 155937
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/hero/hero-3.jpg HTTP/1.1" 200 149564
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/video-bg.jpg HTTP/1.1" 200 154696
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/footer-bg.jpg HTTP/1.1" 200 156323
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/feature/feature-1.jpg HTTP/1.1" 200 26674
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/feature/feature-2.jpg HTTP/1.1" 200 22007
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/feature/feature-3.jpg HTTP/1.1" 200 30397
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/feature/feature-4.jpg HTTP/1.1" 200 14587
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:39 +0900] "GET /semitest/img/feature/feature-5.jpg HTTP/1.1" 200 18439
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:32:59 +0900] "GET /semitest/property.html HTTP/1.1" 200 29119
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/flag.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/properties/best-agent-1.jpg HTTP/1.1" 200 4390
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/properties/best-agent-2.jpg HTTP/1.1" 200 7441
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/properties/best-agent-3.jpg HTTP/1.1" 200 6218
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/properties/property-3.jpg HTTP/1.1" 200 52423
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/properties/property-1.jpg HTTP/1.1" 200 44903
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/properties/property-2.jpg HTTP/1.1" 200 37996
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/properties/property-4.jpg HTTP/1.1" 200 46301
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/partner/partner-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/partner/partner-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/partner/partner-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/partner/partner-4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/partner/partner-5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/footer-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/img/footer-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/fonts/ElegantIcons.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:00 +0900] "GET /semitest/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:46 +0900] "GET /semitest/index.html HTTP/1.1" 200 49020
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:12:33:47 +0900] "GET /semitest/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
